event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
40284,28 August 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Donetsk,,Donetsk Airport,48.0712,37.7407,DPR Armed Forces Press Service,"On 28 August 2020, the Ukrainian Forces fired small arms at the positions of the Donbass People's Militia in the area of Donetsk Airport.",0
40273,28 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Former Military Forces of Ukraine (2019-),,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Solomyanskyi,50.4267,30.4538,24 Channel,"On 28 August 2020, about 150 veterans and relatives of those who died during the war in Donbas protested outside the Russian Embassy in Kiev-Solomyanskyi demanding investigation into the battles of Ilovaisk, Debaltseve and Sloviansk in 2014. [size=about 150]",0
40276,28 August 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,Europe,Ukraine,Luhansk,Popasniansky,,Holubivske,48.692,38.6036,LPR People's Militia Press Service,"On 28 August 2020, the Ukrainian Forces fired small arms at the positions of the Luhansk People's Militia in the area of Holubivske, Luhansk.",0
40250,28 August 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Cherkasy,Umanskyi,,Uman,48.7484,30.2218,LIGA.net; Stop Corruption; Novoye Vremya Ukraine,"On 28 August 2020, people protested in Uman, Cherkasy, trying to block the way for a Jewish procession to the grave of the founder of the Breslov Hasidic movement. The protesters claimed that the building near the grave was constructed illegally and raised concerns about the spread of coronavirus. [size=no report]",0
40264,28 August 2020,Strategic developments,Looting/property destruction,Unidentified Armed Group (Ukraine),,Civilians (Ukraine),Government of Ukraine (2019-); Servant of the People,Europe,Ukraine,Kiev City,Kiev,,Kiev,50.4496,30.5224,Novoye Vremya Ukraine; 24 Channel; Reporter-ua; Segodnya,"Property destruction: On 28 August 2020, unidentified individuals set fire to a car of a member of Parliament from the Servant of the People party in Kiev. No injuries were reported.",0
40265,28 August 2020,Riots,Mob violence,Rioters (Ukraine),,Civilians (Ukraine),Opposition Platform - For Life,Europe,Ukraine,Zaporizhia,Zaporizhia,,Zaporizhia,47.8479,35.1602,061.ua; Stop Corruption,"On 28 August 2020, at least four individuals destroyed about six campaigning tents of the Opposition Platform - For Life party in Zaporizhia. [size=at least four]",0
40274,28 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Labour Group (Ukraine),,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,24 Channel; Ukrainian News Agency; OSCE SMM-Ukraine,"On 28 August 2020, about 100 workers of the tourism sector and concert organisers protested outside the Cabinet of Ministers in Kiev-Pecherskyi against the prohibition of entry into Ukraine for foreigners and other coronavirus-related restrictions. [size=about 100]",0
40234,27 August 2020,Violence against civilians,Attack,Unidentified Armed Group (Ukraine),,Civilians (Ukraine),Patriots - For Life,Europe,Ukraine,Kharkiv,Liubotyn Municipality,,Liubotyn,49.9469,35.9291,Liveuamap; Sputnik News Service; Segodnya; Interfax; Ministry of Internal Affairs of Ukraine; Novoye Vremya Ukraine,"On 27 August 2020, about 50 people attacked a bus with about 20 members of Patriots - For Life NGO affiliated with Opposition Platform - For Life party near Liubotyn, Kharkiv. The attackers shot traumatic weapons at the bus, threw a smoke bomb inside it, pulled out and beat with bats the passengers. Despite initial reports, National Corps and Azov Battalion denied their involvement. Four men were wounded.",0
40282,27 August 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Avdiivka Municipality,,Avdiivka,48.1394,37.7497,JFO HQ press centre; Ministry of Defence of Ukraine,"On 27 August 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Avdiivka, Donetsk.",0
40261,26 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Students (Ukraine),,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Shevchenkivskyi,50.4646,30.4655,Stop Corruption,"On 26 August 2020, about 35 students protested outside the Ministry of Education in Kiev-Shevchenkivskyi demanding that the authorities solve the issue around an unlicensed medical college. [size=about 35]",0
40262,26 August 2020,Protests,Protest with intervention,Protesters (Ukraine),,Police Forces of Ukraine (2019-),Government of Ukraine (2019-),Europe,Ukraine,Dnipropetrovsk,Dnipro,,Dnipro,48.4593,35.0386,Stop Corruption,"On 26 August 2020, people protested in Dnipro ""against capitulation"" in the war in Donbas during the President's visit to the city. The police and the President's guards pushed away the protesters causing rib fracture to one of them. [size=no report]",0
40244,26 August 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Zaporizhia,Zaporizhia,,Zaporizhia,47.8479,35.1602,061.ua,"On 26 August 2020, several dozen people protested in Zaporizhia demanding the construction of a residential house they invested in. [size=several dozen]",0
40245,26 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Democratic Axe Party,,,Europe,Ukraine,Zaporizhia,Zaporizhia,,Zaporizhia,47.8479,35.1602,061.ua,"On 26 August 2020, members of Democratic Axe protested against corruption outside the city council in Zaporizhia. [size=no report]",0
40258,26 August 2020,Protests,Peaceful protest,Protesters (Ukraine),National Corps Party,,,Europe,Ukraine,Odessa,Odessa Municipality,,Odessa,46.4639,30.7386,National Corps,"On 26 August 2020, members of National Corps protested in Odessa demanding the restoration of a historic building. [size=no report]",0
40290,26 August 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Yasynuvata,,Donetsk Filtration Station,48.1331,37.808,OSCE SMM-Ukraine,"On 26 August 2020, the OSCE SMM observed a total of 3 explosions involving unknown weapons near Donetsk Filtration Station.",0
40289,26 August 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,,,Europe,Ukraine,Donetsk,Yasynuvata,,Oleksandropil,48.2816,37.7747,OSCE SMM-Ukraine,"On 26 August 2020, the OSCE SMM observed a total of 10 explosions involving unknown weapons near Oleksandropil.",0
40253,26 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Labour Group (Ukraine),,,Europe,Ukraine,Ivano-Frankivsk,Kolomyia,,Kolomyia,48.53,25.0412,LIGA.net,"On 26 August 2020, owners and employees of businesses protested in Kolomyia, Ivano-Frankivsk, against possible new lockdown restrictions due to the increase in coronavirus cases in their region. [size=no report]",0
40281,26 August 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Marynsky,,Marinka,47.9425,37.505,JFO HQ press centre; Ministry of Defence of Ukraine,"On 26 August 2020, the NAF rebel forces fired small arms at the governmental positions near Marinka, Donetsk.",0
40249,26 August 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Chernivtsi,Kitsman,,Mamaivtsi,48.3526,25.8232,Segodnya,"On 26 August 2020, people blocked a road in Mamaivtsi, Chernivtsi, against possible new lockdown restrictions due to the increase in coronavirus cases in their region. [size=no report]",0
40246,25 August 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Shevchenkivskyi,50.4646,30.4655,Segodnya,"On 25 August 2020, people blocked a road and lit flares near a court in Kiev-Shevchenkivskyi demanding the release of a suspect in the murder of journalist Pavel Sheremet. The protesters claimed that real killers are still at large. [size=no report]",0
40365,25 August 2020,Riots,Mob violence,Rioters (Ukraine),,Civilians (Ukraine),LGBT (Ukraine),Europe,Ukraine,Odessa,Odessa Municipality,,Odessa,46.4639,30.7386,Human Rights Information Centre,"On 25 August 2020, a group of people sprayed tear gas at LGBT activists and doused them with chemical disinfectant Zelyonka in Odessa. [size=no report]",0
40231,25 August 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Shevchenkivskyi,50.4646,30.4655,UA:Pershiy,"On 25 August 2020, people gathered in Kiev-Shevchenkivskyi in support of anti-government protests in Belarus. [size=no report]",0
40230,25 August 2020,Explosions/Remote violence,Remote explosive/landmine/IED,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Vodyane,47.1478,37.7881,Ukraine General Newswire; Unian; Novoye Vremya Ukraine,"On 25 August 2020, NAF rebels planted an anti-personnel mine with a drone near government positions in the area of Vodyane, Donetsk. Two Ukrainian soldiers were wounded in the explosion.",0
40235,25 August 2020,Violence against civilians,Attack,Patriots - For Life,,Civilians (Ukraine),Former Military Forces of Ukraine (2019-); Azov Battalion,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,National Corps; 24 Channel; Novoye Vremya Ukraine,"On 25 August 2020, members of Patriots - For Life organisation shot at a group of Donbas veterans from Azov Battalion in Kiev-Pecherskyi wounding one of them.",0
40247,25 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Labour Group (Ukraine),,,Europe,Ukraine,Rivne,Ostroh,,Ostroh,50.3294,26.5143,Novoye Vremya Ukraine; Segodnya,"On 25 August 2020, several dozen entrepreneurs protested in Ostroh, Rivne, against possible new restrictions to their work due to the increase in coronavirus cases in their region. [size=several dozen]",0
40248,25 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Labour Group (Ukraine),,,Europe,Ukraine,Chernivtsi,Chernivtsi Municipality,,Chernivtsi,48.2915,25.9403,Focus; Segodnya; Novoye Vremya Ukraine,"On 25 August 2020, about 500-1000 people, including entrepreneurs, employees of restaurants and gyms, protested in Chernivtsi against possible new restrictions to their work due to the increase in coronavirus cases in their region. [size=about 500-1000]",0
40280,25 August 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Luhansk,Popasniansky,,Khutir Vilny,48.6828,38.5508,Ministry of Defence of Ukraine; JFO HQ press centre,"On 25 August 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Khutir Vilny, Luhansk.",0
40259,24 August 2020,Protests,Peaceful protest,Protesters (Ukraine),National Corps Party,,,Europe,Ukraine,Lviv,Lviv Municipality,,Lviv,49.8407,24.0305,National Corps,"On 24 August 2020, at least 50 people, including members of National Corps, held a march in Lviv dedicated to the Independence Day of Ukraine and demanded the deoccupation of Donbas and Crimea. [size=at least 50]",0
40254,24 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Svoboda; Right Sector,,,Europe,Ukraine,Zaporizhia,Zaporizhia,,Zaporizhia,47.8479,35.1602,Svoboda,"On 24 August 2020, several hundred people, including members of Svoboda and Right Sector, protested in Zaporizhia demanding the prohibition of pro-Russian parties in Ukraine. [size=several hundred]",0
40252,24 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Former Military Forces of Ukraine (2019-); Azov Battalion; National Corps Party,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,24 Channel,"On 24 August 2020, veterans from Azov Battalion and members of National Corps protested outside the Presidential Office in Kiev-Pecherskyi demanding the adoption of the law on collaborationism and responsibility for pro-Russian politicians. [size=no report]",0
40288,24 August 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Europe,Ukraine,Luhansk,Stanychno-Luhansy,,Pamyatnik knyazyu Igoryu,48.6219,39.4994,OSCE SMM-Ukraine,"On 24 August 2020, the OSCE SMM observed a total of 1 shots involving small arms near Pamyatnik knyazyu Igoryu.",0
40286,24 August 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Yasynuvata,,Yasynuvata,48.1298,37.8594,OSCE SMM-Ukraine,"On 24 August 2020, the OSCE SMM observed a total of 6 explosions involving unknown weapons near Yasynuvata.",0
40287,24 August 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Europe,Ukraine,Donetsk,Horlivka Municipality,,Horlivka,48.3133,38.0416,OSCE SMM-Ukraine,"On 24 August 2020, the OSCE SMM observed a total of 10 shots involving small arms near Horlivka.",0
40237,24 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Military Forces of Ukraine (2019-); Former Military Forces of Ukraine (2019-); Svoboda; Right Sector; National Corps Party; Democratic Axe Party; Solidarna Molod,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Shevchenkivskyi,50.4646,30.4655,Novoye Vremya Ukraine; Svoboda; 24 Channel; AFP; Ukrayinska Pravda,"On 24 August 2020, about 30 000 people, including former and current soldiers, members of Svoboda, Right Sector, National Corps, Democratic Axe and Solidarna Molod, gathered for an unofficial veterans' march in Kiev-Shevchenkivskyi organised due to the cancellation of an annual military parade. The columns of people held banners with various political demands, including the end of the war in Donbas on the Ukrainian terms, the end of the occupation of Crimea, the release of political prisoners, no persecution of activists and free elections in Belarus. [size=about 30 000]",0
40251,24 August 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,Focus; Novoye Vremya Ukraine,"On 24 August 2020, several hundred people protested outside the office of the Prosecutor General in Kiev-Pecherskyi in support of the suspects in the murder of journalist Pavel Sheremet. The protesters demanded that the authorities release innocent people and search for the actual perpetrators. [size=several hundred]",0
40255,24 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Right Sector; Traditions and Order,,,Europe,Ukraine,Kharkiv,Kharkiv,,Kharkiv,49.9808,36.2527,Stop Corruption; Right Sector; Tradition and Order,"On 24 August 2020, about 1000 people, including members of Right Sector and Traditions and Order, held a march in Kharkiv dedicated to the Independence Day of Ukraine and demanded the deoccupation of Donbas and Crimea. [size=about 1000]",0
