event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
38045,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Volyn,Lutsk,,Lutsk,50.7593,25.3424,Stop Corruption,"On 5 June 2020, people protested in Lutsk demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=no report]",0
38037,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Right Sector; National Corps Party; LGBT (Ukraine); Antifa,,,Europe,Ukraine,Lviv,Lviv Municipality,,Lviv,49.8407,24.0305,Twitter; Stop Corruption; Novoye Vremya Ukraine; Liveuamap; Right Sector; Center for Civil Liberties,"On 5 June 2020, about 300 people, including members of Right Sector, National Corps, Antifa and LGBT activists, protested in Lviv demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=about 300]",0
38040,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Right Sector; Freikorps; Former Military Forces of Ukraine (2019-),,,Europe,Ukraine,Kharkiv,Kharkiv,,Kharkiv,49.9808,36.2527,Stop Corruption; Novoye Vremya Ukraine; Right Sector,"On 5 June 2020, at least 30 people, including members of Right Sector, Freikorps and Donbas veterans, protested in Kharkiv demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=at least 30]",0
38042,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Right Sector,,,Europe,Ukraine,Dnipropetrovsk,Dnipro,,Dnipro,48.4593,35.0386,Right Sector; Stop Corruption,"On 5 June 2020, about 15 people, including members of Right Sector, protested in Dnipro demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=about 15]",0
38060,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Stop Corruption,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,Stop Corruption; Novoye Vremya Ukraine,"On 5 June 2020, members of Stop Corruption protested against corruption outside the main building of the Ukrainian Railways in Kiev-Pecherskyi. [size=no report]",0
38065,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Labour Group (Ukraine),,,Europe,Ukraine,Lviv,Lviv Municipality,,Lviv,49.8407,24.0305,Novoye Vremya Ukraine; Segodnya,"On 5 June 2020, bus drivers protested in Lviv demanding better working conditions. Employees of gyms joined the protest and demanded the permission to open up amidst coronavirus lockdown. [size=no report]",0
38066,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Protesters (Belarus),,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Shevchenkivskyi,50.4646,30.4655,Novoye Vremya Ukraine; Unian,"On 5 June 2020, about 10 Ukrainian and Belorussian protesters gathered in Kiev-Shevchenkivskyi in support of the opposition in Belarus. [size=about 10]",0
38067,05 June 2020,Riots,Mob violence,Rioters (Ukraine),,Civilians (Ukraine),Labour Group (Ukraine),Europe,Ukraine,Kiev City,Kiev,,Kiev-Dniproskyi,50.454,30.5982,Focus; Reporter-ua; Novoye Vremya Ukraine; 24 Channel,"On 5 June 2020, several passengers severely beat a bus driver in Kiev-Dniproskyi who demanded that they wear face masks in accordance with coronavirus lockdown measures. The victim was hospitalised with concussion and traumatic brain injury. [size=several]",0
38094,05 June 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Avdiivka Municipality,,Avdiivka,48.1394,37.7497,Ministry of Defence of Ukraine; JFO HQ press centre,"On 5 June 2020, the NAF rebel forces fired 82mm mortars, heavy machine guns, grenade launchers and small arms at the governmental positions near Avdiivka, Donetsk. During the day, two Ukrainian soldiers were wounded at unspecified locations.",0
38095,05 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Pavlopil,47.2656,37.7787,JFO HQ press centre; Ministry of Defence of Ukraine,"On 5 June 2020, the NAF rebel forces fired heavy machine guns and grenade launchers at the governmental positions near Pavlopil, Donetsk. During the day, two Ukrainian soldiers were wounded at unspecified locations.",0
38097,05 June 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Starohnativka,47.5418,37.7809,Ministry of Defence of Ukraine; JFO HQ press centre,"On 5 June 2020, the NAF rebel forces fired grenade launchers and small arms at the governmental positions near Starohnativka, Donetsk. During the day, two Ukrainian soldiers were wounded at unspecified locations.",0
38096,05 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Yasynuvata,,Opytne,48.0961,37.7214,JFO HQ press centre; Ministry of Defence of Ukraine,"On 5 June 2020, the NAF rebel forces fired heavy machine guns and grenade launchers at the governmental positions near Opytne, Donetsk. During the day, two Ukrainian soldiers were wounded at unspecified locations.",0
38098,05 June 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Shyrokyne,47.0987,37.8199,Ministry of Defence of Ukraine; JFO HQ press centre,"On 5 June 2020, the NAF rebel forces fired grenade launchers, heavy machine guns and small arms at the governmental positions near Shyrokyne, Donetsk. During the day, two Ukrainian soldiers were wounded at unspecified locations.",0
38099,05 June 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Bakhmut,,Novoluhanske,48.4263,38.1711,Ministry of Defence of Ukraine; JFO HQ press centre; OSCE SMM-Ukraine,"On 5 June 2020, the NAF rebel forces fired grenade launchers and small arms at the governmental positions near Novoluhanske, Donetsk. The OSCE SMM observed a total of 4 explosions involving unknown weapons near Novoluhanske. During the day, two Ukrainian soldiers were wounded at unspecified locations.",0
