api_event_id,api_id,analyst_id,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
7234756,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Amedi,,Jabal Karah,37.0339,43.558,Shafaaq News; Al Maloomah,"On 25 September 2020, Turkish military forces conducted airstrikes in the village of Kizi, around the summit of ""Bismati"" in the mountain range of ""Karah"" that overlooks Amadiya district. No fatalities/injuries reported by the source.",0,1601329862
7234757,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,Yaqein; All Iraq News Agency; Al Mirbad,"On 25 September 2020, hundreds of protesters organized a demonstration in the city of Nassiriya to demand that the police find the activist who was kidnapped last week. [size=hundreds]",0,1601329862
7234758,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Civilians (Iraq),Lawyers (Iraq),Middle East,Iraq,Thi-Qar,Rifai,,An-Nasr,31.5387,46.1254,Al Mirbad; Shafaaq News; Basnews; All Iraq News Agency; Yaqein; Baghdad Today; Baghdad Post,"On 25 September 2020, an unidentified armed group exploded an IED targeting the house of an activist and a lawyer in An-Nasr district while he was at his house, north of Thi Qar governorate, causing material damage only to the house. Sources believe that the activist was targeted because of his support of the demonstrations that demanded accountability and action after the kidnap of another activist.",0,1601329862
7234759,1,TAS,Violence against civilians,Attack,Islamic State (Iraq),,Civilians (Iraq),Police Forces of Iraq (2020-); Military Forces of Iraq (2020-) Counter-Terrorism Service,Middle East,Iraq,Kirkuk,Kirkuk,,Bajwan,35.5398,44.2821,Liveuamap; National Iraqi News Agency,"On 25 September 2020, IS militants infiltrated the village of Bajwan, near K1 base which houses the headquarters of the Sixth Federal Police Division, the headquarters of the Kirkuk CTS and the headquarters of the 61st Brigade of the Special Division, targeting homes of security forces members. These attacks resulted in the killing of one security force affiliate inside his house and kidnapping of another.",1,1601329862
7234760,1,TAS,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Zakho,,Khantur Mountain,37.2648,42.8583,Patriotic Union of Kurdistan; Shafaaq News,"On 25 September 2020, Turkish forces launched artillery bombs at areas of Mount Khamtir, Zakho and Dahuk, setting fire to large areas of agricultural land and forests (3 events coded, one for each location). No fatalities/injuries reported by the source.",0,1601329862
7234768,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,Civilians (Iraq),,Middle East,Iraq,Dahuk,Zakho,,Ruse,37.22,43.1,Patriotic Union of Kurdistan; Shafaaq News,"On 25 September 2020, Turkish warplanes conducted airstrikes in the village of Rusi, Dahuk, destroying civilian homes in the area. No fatalities/injuries reported by the source.",0,1601329862
7234769,1,TAS,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Iraq),,KSP: Kurdistan Socialist Party,,Middle East,Iraq,Sulaymaniyah,Sulaymaniyah,,Sulaymaniyah,35.565,45.4329,All Iraq News Agency; Shafaaq News,"On 25 September 2020, an unidentified armed group launched mortar shells and RGB7 shells targeting the headquarters of Kurdistan Toilers' Party (KSP) near the city of Sulaymaniyah, resulting in a fire. Sources reported that there were no fatalities.",0,1601329862
7251199,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Mirbad,"On 25 September 2020, engineering graduates demonstrated at the Basrah Oil Company (Makina) in Basrah City, demanding to be appointed. [size=no report]",0,1603135662
7251215,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Mirbad,"On 24 September 2020, engineering graduates demonstrated at the Basrah Oil Company (Makina) in Basrah City, demanding to be appointed. [size=no report]",0,1603135662
7235147,1,TAS,Strategic developments,Other,Military Forces of Iraq (2020-) Popular Mobilization Forces,Badr Organization,,,Middle East,Iraq,Anbar,Falluja,,Karma,33.4266,43.9347,Yaqein,"Around 24 September 2020 (from 20-24 September), groups belonging to the Badr Organization imposed their control over the roads of Karma district in the areas separating Anbar Province and the capital, Baghdad, this security measure prevented the entry and exit of people and traffic from the roads for five days as a form of harassment by the militia group.",0,1601329862
