event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
40646,03 October 2020,Protests,Peaceful protest,Protesters (Ukraine),Students (Ukraine); National Corps Party; Solidarna Molod,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,24 Channel; National Corps; Novoye Vremya Ukraine; Solidarna Molod,"On 3 October 2020, about 100 people, including students, members of National Corps and Solidarna Molod, protested outside the President's Office in Kiev-Pecherskyi demanding the resignation of the Minister of Education Serhiy Shkarlet over corruption and plagiarism allegations. [size=about 100]",0
40677,03 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Horlivka Municipality,,Mayorsk,48.3798,38.0067,Ministry of Defence of Ukraine; JFO HQ press centre,"On 3 October 2020, the NAF rebel forces fired small arms at the governmental positions near Mayorsk, Donetsk.",0
40678,03 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Luhansk,Novoaidarsky,,Prychepylivka,48.7574,38.6912,JFO HQ press centre; Ministry of Defence of Ukraine,"On 3 October 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Prychepylivka, Luhansk.",0
40679,03 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Novoselivka Druha,47.3821,37.7581,JFO HQ press centre; Ministry of Defence of Ukraine,"On 3 October 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Novoselivka Druha, Donetsk.",0
40680,03 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Vodyane,47.1478,37.7881,Ministry of Defence of Ukraine; JFO HQ press centre,"On 3 October 2020, the NAF rebel forces fired grenade launchers and small arms at the governmental positions near Vodyane, Donetsk.",0
40681,03 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Marynsky,,Marinka,47.9425,37.505,Ministry of Defence of Ukraine; JFO HQ press centre,"On 3 October 2020, the NAF rebel forces fired grenade launchers and small arms at the governmental positions near Marinka, Donetsk.",0
40729,02 October 2020,Protests,Peaceful protest,Protesters (Ukraine),Traditions and Order,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Shevchenkivskyi,50.4646,30.4655,Tradition and Order,"On 2 October 2020, members of Traditions and Order protested in Kiev-Shevchenkivskyi demanding the prohibition of ""LGBT propaganda"". [size=no report]",0
40730,02 October 2020,Protests,Peaceful protest,Protesters (Ukraine),Traditions and Order,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Solomyanskyi,50.4267,30.4538,Tradition and Order,"On 2 October 2020, members of Traditions and Order protested outside the Court of Appeal in Kiev-Solomyanskyi demanding the inclusion in the 2020 local election. [size=no report]",0
40691,02 October 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Novoazovsky,,Uzhivka,47.1446,37.8563,DPR Armed Forces Press Service,"On 2 October 2020, the Ukrainian Forces fired 82mm mortars and small arms at the positions of the Donbass People's Militia in the area of Uzhivka, Donetsk.",0
40692,02 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Novoazovsky,,Azov,47.1544,37.8619,DPR Armed Forces Press Service,"On 2 October 2020, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia in the area of Azov, Donetsk.",0
